date,product,category,quantity,price,total,region,salesperson
2024-01-01,Laptop,Electronics,2,15000000,30000000,Jakarta,Budi
2024-01-01,Mouse,Accessories,5,150000,750000,Jakarta,Budi
2024-01-02,Keyboard,Accessories,3,500000,1500000,Surabaya,Ani
2024-01-02,Monitor,Electronics,1,3000000,3000000,Surabaya,Ani
2024-01-03,Laptop,Electronics,1,15000000,15000000,Bandung,Citra
2024-01-03,Printer,Electronics,2,2500000,5000000,Jakarta,Budi
2024-01-04,Mouse,Accessories,10,150000,1500000,Medan,Doni
2024-01-04,Laptop,Electronics,1,15000000,15000000,Medan,Doni
2024-01-05,Keyboard,Accessories,4,500000,2000000,Jakarta,Budi
2024-01-05,Monitor,Electronics,2,3000000,6000000,Surabaya,Ani
2024-01-06,Printer,Electronics,1,2500000,2500000,Bandung,Citra
2024-01-06,Mouse,Accessories,8,150000,1200000,Jakarta,Budi
2024-01-07,Laptop,Electronics,3,15000000,45000000,Surabaya,Ani
2024-01-07,Keyboard,Accessories,2,500000,1000000,Medan,Doni
2024-01-08,Monitor,Electronics,1,3000000,3000000,Bandung,Citra
2024-01-08,Printer,Electronics,1,2500000,2500000,Jakarta,Budi
2024-01-09,Mouse,Accessories,6,150000,900000,Surabaya,Ani
2024-01-09,Laptop,Electronics,2,15000000,30000000,Medan,Doni
2024-01-10,Keyboard,Accessories,5,500000,2500000,Bandung,Citra
2024-01-10,Monitor,Electronics,3,3000000,9000000,Jakarta,Budi
